Global Health Estimates 2016: DALYs by age, sex and cause;;;;;;;;;;;;;;;;;;;;;;;;
Region:;;African Region;;;;;;;;;;;;;;;;;;;;;;
Year:;;2015;;;;;;;;;;;;;;;;;;;;;;
GlobalGlobal;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Sex;Both sexes;Male;Female;Male;;;;;;;;Female;;;;;;;
570;;;3.;Vitamin A deficiency;;56.764;28.126;28.638;0;7.343;8.536;6.125;4.192;1.006;601;324;0;7.195;8.416;6.236;4.505;1.156;708;422
580;;;4.;Iron-deficiency anaemia;;7.281.615;3.084.480;4.197.136;12.310;1.201.529;1.310.350;336.974;147.815;31.220;26.544;17.737;10.628;1.112.704;1.130.834;905.030;652.773;179.267;120.554;85.347
590;;;5.;Other nutritional deficiencies;;753.344;345.718;407.626;0;76.486;18.456;80.981;86.445;31.672;21.561;30.117;0;152.194;28.799;67.355;66.551;38.543;23.635;30.548
600;II.;Noncommunicable diseases;;;;170.055.071;85.030.810;85.024.262;4.105.599;9.969.305;7.520.810;15.416.523;18.630.685;9.632.095;10.039.665;9.716.129;3.636.087;9.341.852;7.682.914;14.459.257;18.462.971;9.499.214;10.198.058;11.743.907
610;;A.;Malignant neoplasms;;;18.914.141;8.463.212;10.450.929;547;508.560;416.108;1.156.594;2.294.072;1.397.917;1.403.964;1.285.451;436;380.608;345.254;1.042.681;3.951.575;2.117.211;1.676.530;936.635
620;;;1.;Mouth and oropharynx cancers;;658.195;408.558;249.637;0;7.042;9.111;43.800;131.329;102.518;76.352;38.406;0;2.792;5.803;30.351;85.198;48.781;51.592;25.120
621;;;;a.;Lip and oral cavity;338.978;204.639;134.339;0;5.600;4.860;16.786;67.853;46.867;38.110;24.563;0;2.240;2.121;9.734;47.698;26.946;29.111;16.489
622;;;;b.;Nasopharynx;194.123;118.133;75.990;0;0;2.837;23.099;40.217;26.561;18.467;6.952;0;0;3.227;17.906;26.639;13.890;9.800;4.529
623;;;;c.;Other pharynx;125.094;85.786;39.308;0;1.443;1.414;3.915;23.258;29.090;19.775;6.891;0;552;456;2.711;10.861;7.945;12.681;4.102
630;;;2.;Oesophagus cancer;;691.816;428.573;263.243;0;611;345;9.816;95.023;121.710;120.906;80.163;0;284;85;8.863;56.101;63.101;75.901;58.908
640;;;3.;Stomach cancer;;624.929;352.205;272.724;0;8.565;7.573;18.482;114.028;83.962;72.960;46.634;0;3.801;3.419;12.710;85.255;59.108;66.291;42.139
650;;;4.;Colon and rectum cancers;;882.504;453.450;429.054;0;5.994;5.984;44.382;144.759;102.550;93.668;56.113;0;7.082;5.513;34.364;151.553;98.466;83.192;48.883
660;;;5.;Liver cancer;;1.637.515;1.081.957;555.558;0;0;28.541;209.099;440.076;197.858;134.114;72.269;0;0;12.757;59.002;230.133;119.309;83.759;50.599
661;;;;a.;Liver cancer secondary to hepatitis B;852.594;587.813;264.780;0;0;23.361;175.906;260.587;74.543;37.371;16.046;0;0;8.192;44.264;135.403;43.813;22.060;11.048
662;;;;b.;Liver cancer secondary to hepatitis C;255.277;125.126;130.152;0;0;655;8.470;40.435;31.690;27.240;16.635;0;0;680;4.965;41.544;34.695;28.643;19.625
663;;;;c.;Liver cancer secondary to alcohol use;392.402;296.895;95.507;0;0;0;6.659;111.998;80.779;62.215;35.244;0;0;0;792;27.241;28.525;24.574;14.375
664;;;;d.;Other liver cancer;137.242;72.123;65.119;0;0;4.525;18.064;27.056;10.847;7.289;4.343;0;0;3.885;8.981;25.945;12.276;8.482;5.551
670;;;6.;Pancreas cancer;;287.503;152.050;135.453;0;101;109;4.599;35.340;45.313;44.133;22.454;0;0;0;5.280;36.889;37.977;33.902;21.405
680;;;7.;Trachea, bronchus, lung cancers;;553.749;357.246;196.503;0;2.515;2.059;6.528;76.758;110.331;101.752;57.302;0;284;85;9.041;43.475;55.289;53.668;34.661
690;;;8.;Melanoma and other skin cancers;;176.312;105.475;70.837;0;808;713;6.683;22.438;25.779;27.727;21.326;0;851;727;3.806;13.939;16.869;21.145;13.499
691;;;;a.;Malignant skin melanoma;119.569;56.537;63.032;0;808;713;3.829;13.400;16.645;13.338;7.804;0;851;727;2.886;12.300;15.379;19.706;11.183
692;;;;b.;Non-melanoma skin cancer;56.743;48.938;7.804;0;0;0;2.855;9.039;9.134;14.389;13.522;0;0;0;920;1.640;1.490;1.439;2.317
700;;;9.;Breast cancer;;2.139.846;5.393;2.134.453;0;0;0;1.026;1.728;969;940;730;0;1.206;1.291;148.798;1.142.139;447.401;265.825;127.794
710;;;10.;Cervix uteri cancer;;2.071.122;0;2.071.122;0;0;0;0;0;0;0;0;0;5.516;3.907;80.014;831.158;554.390;399.726;196.411
720;;;11.;Corpus uteri cancer;;97.326;0;97.326;0;0;0;0;0;0;0;0;0;0;0;2.752;17.773;22.275;29.960;24.566
730;;;12.;Ovary cancer;;422.848;0;422.848;0;0;0;0;0;0;0;0;0;6.755;6.122;41.142;162.406;97.602;70.408;38.413
740;;;13.;Prostate cancer;;823.849;823.849;0;0;0;0;23.842;23.635;22.981;204.740;548.650;0;0;0;0;0;0;0;0
742;;;14.;Testicular cancer;;33.657;33.657;0;0;2.839;2.289;7.370;10.451;5.036;3.180;2.492;0;0;0;0;0;0;0;0
745;;;15.;Kidney cancer;;362.335;174.166;188.168;38;73.281;31.510;12.659;22.031;13.888;12.685;8.074;33;60.685;52.376;13.037;31.485;14.362;10.276;5.914
750;;;16.;Bladder cancer;;237.796;150.003;87.793;0;7.654;6.341;4.457;32.843;28.329;36.993;33.386;0;2.353;1.889;3.298;18.920;23.254;22.792;15.286
751;;;17.;Brain and nervous system cancers;;286.731;158.742;127.989;81;22.088;24.718;24.009;41.291;23.494;16.383;6.678;53;15.439;19.821;19.272;33.389;19.737;13.109;7.168
752;;;18.;Gallbladder and biliary tract cancer;;98.916;31.438;67.478;0;0;0;1.595;10.223;7.392;7.220;5.008;0;0;0;2.002;22.610;18.830;13.789;10.247
753;;;19.;Larynx cancer;;120.976;102.200;18.776;0;0;0;3.175;24.114;29.991;30.333;14.588;0;0;0;1.327;5.009;4.624;5.041;2.774
754;;;20.;Thyroid cancer;;117.659;33.713;83.947;0;0;435;1.598;2.724;7.530;13.448;7.979;0;0;441;1.522;5.324;19.661;39.084;17.914
755;;;21.;Mesothelioma;;23.837;16.060;7.777;0;269;626;2.517;4.071;3.502;2.989;2.086;0;0;0;881;1.684;2.458;1.548;1.206
760;;;22.;Lymphomas, multiple myeloma;;1.353.330;756.935;596.395;64;69.576;113.511;132.410;218.207;91.234;82.746;49.187;57;48.414;78.004;117.313;181.666;72.674;59.080;39.187
761;;;;a.;Hodgkin lymphoma;166.073;101.084;64.989;14;5.555;11.901;25.860;32.107;11.031;9.857;4.760;5;2.410;6.299;17.065;20.740;8.155;5.114;5.201
762;;;;b.;Non-Hodgkin lymphoma;1.052.961;590.305;462.656;51;62.085;100.103;105.051;174.647;66.008;50.096;32.264;52;45.337;71.122;98.338;147.853;47.152;31.239;21.565
763;;;;c.;Multiple myeloma;134.297;65.547;68.750;0;1.935;1.508;1.500;11.452;14.196;22.793;12.163;0;667;584;1.910;13.074;17.368;22.726;12.421
770;;;23.;Leukaemia;;735.938;426.932;309.005;79;62.615;49.326;109.756;100.426;46.306;36.855;21.570;69;34.225;29.678;62.617;82.769;43.326;34.462;21.860
780;;;24.;Other malignant neoplasms;;4.475.453;2.410.608;2.064.844;284;244.601;132.916;488.790;742.577;327.243;283.839;190.358;223;190.922;123.337;385.286;712.699;277.716;241.981;132.681
790;;B.;Other neoplasms;;;745.823;399.130;346.693;0;37.393;45.788;71.421;85.263;63.535;53.245;42.485;0;32.502;48.122;38.407;103.474;46.218;45.542;32.429
800;;C.;Diabetes mellitus;;;6.282.860;3.135.083;3.147.777;275;20.635;50.959;260.233;756.846;683.122;746.673;616.339;155;19.843;57.398;254.035;637.927;620.179;776.238;782.001
810;;D.;Endocrine, blood, immune disorders;;;8.485.207;3.417.072;5.068.135;20.037;1.328.381;797.039;711.840;343.287;91.334;66.144;59.008;17.838;1.393.376;1.217.773;1.628.882;476.459;114.434;109.023;110.350
811;;;1.;Thalassaemias;;276.624;123.084;153.540;559;63.523;28.704;9.323;11.891;4.076;2.811;2.198;518;56.655;33.074;23.920;27.151;6.484;3.101;2.637
812;;;2.;Sickle cell disorders and trait;;6.068.076;2.132.564;3.935.511;13.193;885.626;554.132;552.160;109.836;10.904;4.125;2.587;12.021;1.024.682;1.042.368;1.483.381;317.402;39.807;10.692;5.158
813;;;3.;Other haemoglobinopathies and haemolytic anaemias;;679.265;398.970;280.295;784;85.468;101.928;75.537;56.803;24.476;25.432;28.543;538;58.248;48.631;43.622;29.537;18.257;32.234;49.228
814;;;4.;Other endocrine, blood and immune disorders;;1.461.243;762.454;698.789;5.501;293.764;112.275;74.820;164.757;51.879;33.777;25.681;4.761;253.791;93.701;77.958;102.368;49.886;62.995;53.328
820;;E.;Mental and substance use disorders;;;19.310.369;10.299.362;9.011.007;1.879;187.944;1.641.674;4.049.400;3.109.397;711.919;396.963;200.186;758;90.842;1.296.678;3.403.094;2.755.874;725.714;455.245;282.802
830;;;1.;Depressive disorders;;5.179.318;2.163.509;3.015.809;0;191;172.297;810.343;704.590;227.161;153.441;95.486;0;202;220.006;1.048.373;996.623;343.921;242.713;163.970
831;;;;a.;Major depressive disorder;4.259.367;1.771.648;2.487.719;0;157;153.993;679.213;554.950;180.244;123.145;79.946;0;164;196.026;877.220;801.489;277.626;196.927;138.267
832;;;;b.;Dysthymia;919.951;391.861;528.090;0;34;18.304;131.130;149.640;46.917;30.296;15.539;0;37;23.980;171.153;195.134;66.295;45.787;25.703
840;;;2.;Bipolar disorder;;1.062.856;484.491;578.365;0;0;30.830;232.275;158.674;36.795;18.493;7.423;0;0;37.431;276.031;184.650;45.727;23.937;10.589
850;;;3.;Schizophrenia;;856.646;424.635;432.010;0;0;1.952;118.300;218.737;53.281;25.342;7.024;0;0;1.673;115.491;222.590;56.596;27.431;8.230
860;;;4.;Alcohol use disorders;;1.913.368;1.292.730;620.638;6;505;9.728;533.229;539.298;133.319;58.043;18.602;4;341;5.724;277.576;244.852;41.666;26.772;23.704
870;;;5.;Drug use disorders;;1.835.935;1.321.268;514.667;28;0;317;690.184;516.197;57.044;37.553;19.946;76;0;179;249.087;201.787;31.552;20.827;11.159
871;;;;a.;Opioid use disorders;1.656.576;1.207.658;448.918;28;0;0;629.773;478.311;50.380;33.221;15.945;76;0;0;214.860;179.040;27.458;18.500;8.983
872;;;;b.;Cocaine use disorders;29.324;20.819;8.505;0;0;0;8.379;8.529;1.801;1.315;795;0;0;0;4.117;3.029;690;446;223
873;;;;c.;Amphetamine use disorders;17.144;12.729;4.414;0;0;19;7.469;4.045;550;420;228;0;0;6;2.830;1.181;208;127;62
874;;;;d.;Cannabis use disorders;49.875;30.680;19.196;0;0;283;21.997;7.455;639;215;92;0;0;167;13.493;4.823;461;170;81
875;;;;e.;Other drug use disorders;83.016;49.382;33.635;0;0;15;22.567;17.857;3.675;2.382;2.886;0;0;7;13.786;13.713;2.735;1.584;1.810
880;;;6.;Anxiety disorders;;2.802.693;1.112.483;1.690.209;0;6.464;252.642;430.260;308.142;66.846;31.879;16.251;0;8.120;355.737;649.631;462.057;114.973;62.892;36.799
890;;;7.;Eating disorders;;189.085;48.236;140.849;0;0;5.630;27.489;15.117;0;0;0;0;0;15.641;84.581;40.627;0;0;0
900;;;8.;Autism and Asperger syndrome;;1.176.891;888.130;288.761;1.436;114.416;269.878;275.542;164.064;34.759;18.610;9.424;448;37.289;92.074;90.487;49.368;10.365;5.632;3.099
910;;;9.;Childhood behavioural disorders;;1.351.949;869.031;482.918;0;2.362;535.864;313.646;14.898;1.806;413;43;0;1.062;308.221;165.111;7.270;981;244;28
911;;;;a.;Attention deficit/hyperactivity syndrome;158.003;107.745;50.258;0;2.362;48.714;39.509;14.898;1.806;413;43;0;1.062;22.301;18.371;7.270;981;244;28
912;;;;b.;Conduct disorder;1.193.946;761.286;432.660;0;0;487.150;274.136;0;0;0;0;0;0;285.920;146.740;0;0;0;0
920;;;10.;Idiopathic intellectual disability;;1.945.434;1.117.963;827.470;409;64.006;355.901;406.783;219.464;42.291;20.582;8.528;230;43.828;255.511;303.283;165.437;33.569;17.294;8.317
930;;;11.;Other mental and behavioural disorders;;996.195;576.885;419.309;0;0;6.635;211.350;250.216;58.617;32.607;17.461;0;0;4.479;143.444;180.613;46.364;27.504;16.906
940;;F.;Neurological conditions;;;9.513.232;4.439.242;5.073.990;46;342.969;598.247;1.456.728;988.028;249.703;245.105;558.415;51;342.183;709.355;1.405.469;1.145.207;306.571;287.745;877.409
950;;;1.;Alzheimer disease and other dementias;;1.541.894;603.975;937.919;0;0;0;0;5.477;37.890;106.797;453.812;0;0;0;0;5.802;40.466;139.388;752.263
960;;;2.;Parkinson disease;;121.246;71.092;50.155;0;0;0;179;3.645;4.586;13.144;49.538;0;0;0;92;1.888;2.849;8.618;36.707
970;;;3.;Epilepsy;;3.503.718;2.107.708;1.396.010;42;261.768;354.076;860.538;452.665;82.032;65.283;31.305;43;247.796;309.072;436.086;259.988;58.682;38.581;45.762
980;;;4.;Multiple sclerosis;;39.843;14.460;25.383;0;0;107;2.264;7.188;2.725;1.521;655;0;0;193;4.309;12.933;4.351;2.398;1.199
990;;;5.;Migraine;;2.808.848;1.005.059;1.803.789;0;0;125.657;390.760;363.827;77.539;34.889;12.387;0;0;226.044;685.556;653.295;145.134;67.686;26.074
1000;;;6.;Non-migraine headache;;716.384;285.035;431.349;0;0;26.778;106.237;110.949;24.031;12.171;4.869;0;0;43.448;155.523;162.961;39.055;20.942;9.419
1010;;;7.;Other neurological conditions;;781.299;351.913;429.386;4;81.201;91.629;96.751;44.278;20.900;11.302;5.849;8;94.387;130.598;123.903;48.341;16.035;10.130;5.984
1020;;G.;Sense organ diseases;;;10.433.469;5.088.186;5.345.283;1.525;190.502;588.356;892.355;1.157.043;678.395;750.456;829.554;1.408;180.223;531.221;820.645;1.129.869;725.521;861.278;1.095.118
1030;;;1.;Glaucoma;;128.749;56.188;72.560;0;0;0;461;5.554;7.596;13.905;28.673;0;0;0;592;6.522;8.986;17.344;39.116
1040;;;2.;Cataracts;;788.442;306.802;481.640;0;0;0;1.379;34.813;51.593;87.063;131.955;0;0;0;2.371;52.382;76.688;133.854;216.344
1050;;;3.;Uncorrected refractive errors;;3.046.168;1.439.208;1.606.960;803;93.076;231.848;305.821;359.925;175.697;154.475;117.563;920;96.375;234.811;317.041;406.619;210.854;185.720;154.621
1060;;;4.;Macular degeneration;;195.868;76.397;119.471;0;0;0;0;5;7.506;21.656;47.231;0;0;0;0;12;11.203;32.950;75.307
1070;;;5.;Other vision loss;;1.057.372;508.837;548.535;24;13.229;38.699;71.821;94.288;71.921;95.390;123.465;27;14.900;43.688;80.959;97.540;73.076;99.167;139.177
1080;;;6.;Other hearing loss;;4.678.264;2.456.824;2.221.439;698;70.187;289.888;464.638;598.208;332.923;345.111;355.171;461;52.922;221.463;365.066;492.310;306.031;349.692;433.494
1090;;;7.;Other sense organ disorders;;538.607;243.929;294.678;0;14.009;27.922;48.236;64.251;31.159;32.856;25.497;0;16.026;31.259;54.616;74.483;38.684;42.551;37.059
1100;;H.;Cardiovascular diseases;;;32.716.840;16.321.619;16.395.221;12.499;578.169;500.919;1.810.449;3.308.100;2.740.722;3.576.775;3.793.987;10.532;577.258;462.859;1.388.001;2.742.109;2.344.993;3.588.424;5.281.047
1110;;;1.;Rheumatic heart disease;;1.283.728;580.978;702.749;0;48.197;89.599;156.386;141.743;53.604;52.234;39.216;0;42.943;100.544;170.413;174.517;71.225;77.120;65.987
1120;;;2.;Hypertensive heart disease;;1.802.295;642.507;1.159.788;0;1.651;2.322;42.490;139.603;124.577;158.248;173.616;0;3.157;3.491;60.665;201.273;210.367;279.792;401.043
